transcript_id,ERR5060645,ERR5060646
transcript:Os01t0536501-00,0,0
transcript:Os08t0530100-01,1,5
transcript:Os12t0405100-01,2651,4189
transcript:Os01t0171000-02,0,0
transcript:Os01t0171000-01,2579,2476
transcript:Os09t0104300-01,1180,1371
transcript:Os11t0172400-00,0,0
transcript:Os06t0607750-00,0,0
transcript:Os01t0158800-00,0,0
transcript:Os12t0539700-03,538,469
transcript:Os02t0566000-01,27,49
transcript:Os07t0179300-00,23,49
transcript:Os12t0539700-04,32,61
transcript:Os02t0467400-02,115,251
transcript:Os02t0467400-03,5,22
transcript:Os02t0467400-01,602,926
transcript:Os08t0213816-00,0,0
transcript:Os11t0265200-00,1293,1740
transcript:Os12t0248600-01,0,16
transcript:Os06t0473100-00,0,0
transcript:Os03t0128932-00,0,4
transcript:Os08t0486867-01,12,25
transcript:Os10t0521450-00,0,0
transcript:Os07t0190700-01,5,0
transcript:Os04t0443500-01,1873,2602
transcript:Os01t0353633-00,0,0
transcript:Os02t0535901-00,112,142
transcript:Os01t0575000-03,11845,2456
transcript:Os01t0575000-02,9687,0
transcript:Os01t0575000-01,0,21486
transcript:Os12t0244150-00,3,2
transcript:Os02t0177400-01,46,36
transcript:Os05t0209683-00,9,7
transcript:Os08t0264700-00,0,0
transcript:Os01t0921500-01,15,57
transcript:Os06t0584200-01,5,496
transcript:Os06t0584200-02,0,0
transcript:Os06t0584200-03,699,601
transcript:Os04t0499800-01,944,975
transcript:Os12t0595300-01,0,0
transcript:Os01t0248000-01,3,3
transcript:Os05t0442750-00,0,0
transcript:Os09t0443000-00,5,0
transcript:Os01t0799500-01,557,530
transcript:Os01t0799500-02,1,9
transcript:Os03t0192550-01,4,10
transcript:Os05t0458300-00,0,0
transcript:Os05t0524500-01,0,0
transcript:Os11t0290600-01,0,0
transcript:Os02t0654700-01,75,222
transcript:Os05t0163100-01,490,580
transcript:Os06t0662150-01,22,45
transcript:Os05t0163100-02,1249,1244
transcript:Os09t0530000-02,251,345
transcript:Os05t0549050-01,50,90
transcript:Os04t0280600-01,0,0
transcript:Os11t0689800-01,44,50
transcript:Os05t0411200-02,212,209
transcript:Os06t0590700-01,3,13
transcript:Os05t0411200-01,0,0
transcript:Os03t0138400-01,237,302
transcript:Os12t0633200-01,137,123
transcript:Os01t0322700-01,286,232
transcript:Os04t0515400-00,102,180
transcript:Os09t0530000-01,69,112
transcript:Os10t0565700-02,0,12
transcript:Os10t0565700-01,95,92
transcript:Os03t0698500-02,1806,3043
transcript:Os01t0773000-01,183,182
transcript:Os04t0448800-01,509,506
transcript:Os04t0448800-02,113,28
transcript:Os02t0129300-01,81,90
transcript:Os02t0586900-02,1425,11604
transcript:Os02t0586900-01,0,0
transcript:Os02t0665250-01,5,11
transcript:Os12t0508200-02,94,78
transcript:Os03t0203800-01,2659,3373
transcript:Os02t0644600-01,782,874
transcript:Os04t0317800-01,1,1
transcript:Os11t0557900-01,609,1012
transcript:Os01t0123500-00,20,19
transcript:Os03t0405500-02,12,226
transcript:Os01t0349400-01,897,1671
transcript:Os02t0189000-01,477,576
transcript:Os03t0405500-01,2443,3991
transcript:Os08t0114150-00,0,0
transcript:Os07t0209800-01,1537,2090
transcript:Os10t0465800-00,4194,4470
transcript:Os03t0786250-00,74,159
transcript:Os04t0475500-01,182,266
transcript:Os10t0146601-00,0,0
transcript:Os03t0655200-01,1179,1606
transcript:Os01t0174700-03,40,79
transcript:Os01t0174700-01,151,275
