gene_id,ERR5060645,ERR5060646
gene:Os03g0330200,120,599
gene:Os08g0347550,0,3
gene:Os10g0493900,223,394
gene:Os02g0503900,2654,3911
gene:Os03g0757400,203,218
gene:Os07g0134500,1883,2984
gene:Os12g0597800,10,24
gene:Os05g0280700,0,0
gene:Os09g0129500,78,204
gene:Os08g0295000,2410,2915
gene:Os04g0508000,0,0
gene:Os04g0429300,1468,1013
gene:Os05g0541750,295,276
gene:Os05g0430200,563,828
gene:Os06g0601000,589,432
gene:Os06g0306201,0,0
gene:Os05g0500300,0,0
gene:Os05g0447660,0,0
gene:Os07g0681500,3296,4257
gene:Os11g0233800,112,196
gene:Os08g0512600,222,330
gene:Os12g0179100,0,0
gene:Os01g0855400,592,714
gene:Os10g0331500,0,0
gene:Os01g0748900,1657,2754
gene:Os08g0424500,4693,5960
gene:Os03g0711500,1313,1994
gene:Os01g0734000,125,645
gene:Os05g0163300,64,93
gene:Os02g0498100,85,235
gene:Os08g0130100,8,94
gene:Os09g0539100,3475,4407
gene:Os08g0356800,60,167
gene:Os04g0635450,17,89
gene:Os07g0668600,5840,5747
gene:Os02g0616199,0,0
gene:Os04g0685500,217,254
gene:Os01g0660000,39,471
gene:ENSRNA049466099,2,2
gene:Os01g0502900,85,134
gene:Os12g0629700,479,2061
gene:Os04g0596300,464,678
gene:Os12g0176100,0,0
gene:Os09g0356000,3,37
gene:Os03g0663400,1829,3185
gene:Os10g0368100,17,17
gene:Os01g0713900,237,345
gene:Os04g0284900,1393,1589
gene:Os05g0586200,3473,4442
gene:ENSRNA049474912,0,0
gene:Os09g0485950,11,12
gene:Os03g0578300,1436,1820
gene:Os09g0278401,13,18
gene:Os09g0517200,27,88
gene:Os10g0516900,39,34
gene:Os10g0439266,0,0
gene:Os08g0415900,0,0
gene:Os06g0722700,2223,3248
gene:Os12g0138500,122,221
gene:Os05g0559800,1607,608
gene:Os08g0547300,24,43
gene:Os01g0374600,0,0
gene:Os03g0149800,64,132
gene:Os01g0738800,111,146
gene:Os04g0687900,560,722
gene:Os08g0103700,4,0
gene:Os05g0425600,2,0
gene:Os06g0614000,79,226
gene:Os10g0517050,200,434
gene:Os05g0556350,0,0
gene:Os06g0619200,0,0
gene:Os05g0503650,7,0
gene:Os01g0699900,138,235
gene:Os05g0377150,0,0
gene:Os06g0293500,0,3
gene:Os01g0154600,0,7
gene:Os11g0462600,55,30
gene:Os02g0642200,216,200
gene:Os01g0569800,1,1
gene:Os04g0291100,267,282
gene:Os06g0662000,5518,9572
gene:Os02g0734900,3228,6084
gene:Os03g0191800,15,19
gene:Os04g0298200,1027,1532
gene:Os08g0438400,145,208
gene:Os03g0591700,715,620
gene:Os01g0257400,1822,2421
gene:Os05g0432200,38507,48025
gene:Os01g0296166,0,5
gene:Os08g0101700,88,354
gene:ENSRNA049473335,3,8
gene:Os12g0245100,0,0
gene:Os07g0545800,1309,2414
gene:Os01g0701100,0,0
gene:Os09g0491789,0,0
gene:Os03g0764900,7,17
gene:Os05g0232632,0,0
gene:Os03g0339700,188,210
gene:Os04g0405700,104,138
gene:Os04g0418300,3,4
gene:Os02g0226600,29,44
gene:Os01g0705000,22,46
gene:Os01g0152600,176,227
gene:Os06g0703800,1148,1134
gene:Os02g0778633,0,0
gene:Os09g0568600,0,2
gene:Os03g0720300,748,1850
gene:Os05g0557400,204,295
gene:Os05g0300700,2446,3298
gene:Os08g0226400,85,94
gene:Os09g0380966,0,0
gene:Os06g0639700,0,0
gene:Os08g0433200,703,1179
gene:Os08g0538700,611,1060
gene:Os02g0208100,7107,9802
gene:Os06g0714200,790,1294
gene:Os07g0662600,1776,1648
gene:Os04g0683100,1815,2295
gene:Os10g0527800,57,432
gene:Os09g0462550,197,349
gene:Os12g0203000,178,266
gene:Os09g0120100,1681,2154
gene:Os07g0505300,0,0
gene:Os02g0302200,552,904
gene:Os03g0860600,19,76
gene:Os01g0939300,392,564
gene:Os01g0266600,1424,1508
gene:Os03g0231150,35,62
gene:Os09g0428750,22,41
gene:Os05g0511500,272,380
gene:Os07g0639100,0,0
gene:Os10g0440100,334,518
gene:Os09g0515200,6198,6902
gene:Os04g0442050,0,0
gene:Os07g0194800,490,913
gene:Os01g0844200,0,12
gene:Os12g0135051,0,0
gene:Os11g0112200,7,19
gene:Os03g0271600,754,1100
gene:Os03g0650900,1418,1562
gene:Os07g0624100,79,82
gene:Os09g0491692,303,326
gene:Os09g0393501,0,0
gene:Os02g0744600,124,73
gene:Os01g0912600,82,141
gene:Os06g0129800,273,254
gene:Os09g0474350,6,7
gene:ENSRNA049475631,0,0
gene:Os05g0354075,0,0
gene:Os04g0394200,6255,8438
gene:Os09g0245500,2898,3036
gene:Os05g0463400,360,735
gene:Os01g0617600,375,491
gene:Os03g0288800,681,796
gene:Os05g0223000,1650,3485
gene:Os03g0198200,74,98
gene:Os09g0388550,11,44
gene:Os10g0159600,11,22
gene:ENSRNA049472178,3,2
gene:Os03g0181600,439,604
gene:Os03g0374400,718,1330
gene:Os04g0381600,1297,1561
gene:Os07g0291400,73,123
gene:Os02g0719100,3399,3275
gene:Os02g0475300,401,1817
gene:Os03g0168500,31665,22086
gene:Os10g0400700,0,0
gene:Os08g0492000,92,93
gene:Os01g0885300,1299,2742
gene:Os10g0521400,40,78
gene:Os03g0760100,97,281
gene:Os09g0410300,6410,7261
gene:Os03g0719400,917,2023
gene:Os04g0343050,5,7
gene:Os02g0284550,0,0
gene:Os11g0105350,2,3
gene:Os06g0243900,25,50
gene:Os03g0739700,2072,1991
gene:Os04g0499200,989,820
gene:Os03g0264000,683,919
gene:Os04g0643500,0,0
gene:Os01g0583600,0,2
gene:Os01g0153150,71,84
gene:Os11g0694150,0,0
gene:Os11g0691300,0,0
gene:Os12g0104850,2,6
gene:Os10g0156200,43,44
gene:Os03g0609400,102,180
gene:Os03g0838100,378,1333
gene:Os01g0211600,218,523
gene:Os05g0102300,559,770
gene:Os04g0555400,3192,4219
gene:gene-rpl14,1,10
gene:gene-rpl16,1,1
gene:Os03g0167700,5114,6291
gene:Os04g0490000,32,66
gene:Os08g0233000,133,200
gene:Os03g0248200,484,417
gene:Os07g0164900,608,1157
gene:Os04g0652500,435,720
gene:Os01g0789000,30,20
gene:Os11g0505300,398,776
gene:Os11g0685700,0,21
gene:Os08g0332700,423,556
gene:Os04g0566100,1581,2037
gene:Os06g0239100,9,43
gene:Os07g0529600,1837,2071
gene:Os11g0110200,0,0
gene:Os01g0794800,129,805
gene:Os07g0173100,194,295
gene:Os02g0814300,0,0
gene:Os06g0224300,0,0
gene:Os03g0128300,30,34
gene:Os08g0328350,8,13
gene:Os03g0685700,1240,1592
gene:Os04g0633200,6,5
gene:Os07g0408500,19,29
gene:Os01g0609300,3134,8401
gene:Os03g0817000,516,734
gene:Os08g0477900,0,12
gene:Os07g0147800,1127,1168
gene:Os11g0683700,0,0
gene:Os06g0604600,171,606
gene:Os04g0111500,1048,1386
gene:Os06g0729150,0,5
gene:Os02g0236800,119,193
gene:Os07g0109600,821,1028
gene:Os03g0268050,0,3
gene:Os07g0145400,480,389
gene:Os04g0612700,19,65
gene:Os08g0372900,16,93
gene:ENSRNA049465938,0,0
gene:Os03g0274950,8,8
gene:Os02g0498666,1810,4539
gene:Os04g0548400,475,609
gene:Os09g0540350,32,5
gene:Os12g0550600,1388,1752
